Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Nepal,Asia,12/1/2009,2.40%,0.377,0.574,0.048,26.5M,16.50%
Philippines,Asia,12/1/2009,2.50%,0.357,0.607,0.037,91.9M,45.50%
Kyrgyzstan,Asia,12/1/2009,2.50%,0.301,0.653,0.046,5.4M,35.30%
Cambodia,Asia,12/1/2009,2.60%,0.324,0.627,0.049,14.1M,19.70%
Pakistan,Asia,12/1/2009,2.70%,0.36,0.597,0.043,170.1M,36.20%
Laos,Asia,12/1/2009,2.90%,0.374,0.588,0.037,6.3M,32.00%
Tajikistan,Asia,12/1/2009,3.20%,0.362,0.604,0.034,7.4M,26.50%
Timor-Leste,Asia,12/1/2009,3.70%,0.476,0.494,0.03,1.0M,28.90%
Afghanistan,Asia,12/1/2009,3.90%,0.49,0.489,0.021,27.7M,24.30%
Macao SAR,Asia,12/1/2010,0.90%,0.127,0.801,0.072,0.5M,100.00%
South Korea,Asia,12/1/2010,0.90%,0.162,0.727,0.111,49.4M,81.90%
Singapore,Asia,12/1/2010,0.90%,0.173,0.736,0.09,5.1M,100.00%
Japan,Asia,12/1/2010,0.90%,0.133,0.638,0.23,127.5M,90.50%
Thailand,Asia,12/1/2010,1.10%,0.193,0.718,0.089,66.4M,44.10%
China,Asia,12/1/2010,1.20%,0.181,0.735,0.084,"1,337.7M",49.20%
Hong Kong SAR,Asia,12/1/2010,1.30%,0.121,0.75,0.129,7.0M,100.00%
North Korea,Asia,12/1/2010,1.40%,0.227,0.686,0.088,24.5M,60.20%
Georgia,Asia,12/1/2010,1.40%,0.173,0.685,0.142,4.5M,52.90%
Armenia,Asia,12/1/2010,1.40%,0.205,0.689,0.105,3.0M,63.60%
Vietnam,Asia,12/1/2010,1.60%,0.235,0.7,0.065,86.9M,30.40%
Brunei,Asia,12/1/2010,1.70%,0.266,0.697,0.037,0.4M,75.50%
Myanmar,Asia,12/1/2010,1.80%,0.261,0.688,0.051,51.9M,31.40%
Azerbaijan,Asia,12/1/2010,1.80%,0.227,0.714,0.059,9.1M,53.40%
Sri Lanka,Asia,12/1/2010,1.80%,0.251,0.671,0.078,20.7M,18.30%
Malaysia,Asia,12/1/2010,1.80%,0.277,0.675,0.048,28.3M,70.90%
Indonesia,Asia,12/1/2010,2.00%,0.298,0.652,0.05,240.7M,49.90%
India,Asia,12/1/2010,2.10%,0.302,0.648,0.051,"1,205.6M",30.90%
Bhutan,Asia,12/1/2010,2.10%,0.298,0.657,0.045,0.7M,34.80%
Bangladesh,Asia,12/1/2010,2.10%,0.317,0.637,0.046,151.1M,30.50%
Turkmenistan,Asia,12/1/2010,2.20%,0.292,0.666,0.041,5.0M,48.40%
Maldives,Asia,12/1/2010,2.20%,0.3,0.65,0.05,0.3M,40.00%
Mongolia,Asia,12/1/2010,2.30%,0.27,0.692,0.038,2.7M,67.60%
Kazakhstan,Asia,12/1/2010,2.30%,0.249,0.684,0.067,16.3M,53.70%
Uzbekistan,Asia,12/1/2010,2.30%,0.298,0.658,0.044,28.6M,36.20%
Nepal,Asia,12/1/2010,2.30%,0.371,0.58,0.049,26.8M,16.80%
Philippines,Asia,12/1/2010,2.50%,0.353,0.61,0.037,93.4M,45.30%
Cambodia,Asia,12/1/2010,2.60%,0.318,0.631,0.05,14.4M,19.80%
Pakistan,Asia,12/1/2010,2.70%,0.354,0.602,0.043,173.1M,36.60%
Kyrgyzstan,Asia,12/1/2010,2.70%,0.3,0.655,0.044,5.4M,35.30%
Laos,Asia,12/1/2010,2.80%,0.368,0.595,0.037,6.4M,33.10%
Tajikistan,Asia,12/1/2010,3.30%,0.359,0.608,0.033,7.6M,26.50%
Timor-Leste,Asia,12/1/2010,3.60%,0.473,0.496,0.031,1.1M,29.50%
Afghanistan,Asia,12/1/2010,3.80%,0.486,0.492,0.022,28.4M,24.70%
Japan,Asia,12/1/2011,0.80%,0.132,0.631,0.237,127.8M,91.20%
South Korea,Asia,12/1/2011,0.90%,0.157,0.728,0.114,49.8M,82.00%
Macao SAR,Asia,12/1/2011,1.00%,0.124,0.802,0.074,0.5M,100.00%
Singapore,Asia,12/1/2011,1.00%,0.169,0.737,0.093,5.2M,100.00%
Thailand,Asia,12/1/2011,1.10%,0.189,0.72,0.091,66.6M,45.40%
China,Asia,12/1/2011,1.20%,0.18,0.735,0.085,"1,344.1M",50.60%
North Korea,Asia,12/1/2011,1.40%,0.223,0.687,0.09,24.6M,60.30%
Georgia,Asia,12/1/2011,1.40%,0.174,0.684,0.142,4.5M,53.00%
Armenia,Asia,12/1/2011,1.40%,0.204,0.692,0.104,3.0M,63.40%
Hong Kong SAR,Asia,12/1/2011,1.40%,0.119,0.749,0.132,7.1M,100.00%
Vietnam,Asia,12/1/2011,1.60%,0.231,0.703,0.065,87.8M,31.00%
Brunei,Asia,12/1/2011,1.60%,0.262,0.7,0.038,0.4M,75.90%
Myanmar,Asia,12/1/2011,1.80%,0.257,0.692,0.051,52.4M,31.90%
Sri Lanka,Asia,12/1/2011,1.80%,0.251,0.669,0.08,20.9M,18.30%
Malaysia,Asia,12/1/2011,1.80%,0.272,0.678,0.05,28.8M,71.70%
Azerbaijan,Asia,12/1/2011,1.90%,0.224,0.718,0.058,9.2M,53.60%
Bhutan,Asia,12/1/2011,2.00%,0.291,0.663,0.046,0.7M,35.60%
Indonesia,Asia,12/1/2011,2.00%,0.296,0.653,0.051,243.8M,50.70%
India,Asia,12/1/2011,2.10%,0.298,0.651,0.051,"1,221.2M",31.30%
Bangladesh,Asia,12/1/2011,2.10%,0.311,0.642,0.047,152.9M,31.20%
Turkmenistan,Asia,12/1/2011,2.20%,0.289,0.671,0.041,5.1M,48.70%
Uzbekistan,Asia,12/1/2011,2.20%,0.293,0.664,0.043,29.3M,36.20%
Nepal,Asia,12/1/2011,2.20%,0.364,0.586,0.05,27.2M,17.20%
Maldives,Asia,12/1/2011,2.20%,0.294,0.655,0.05,0.3M,41.20%
Mongolia,Asia,12/1/2011,2.30%,0.27,0.692,0.038,2.8M,68.50%
Kazakhstan,Asia,12/1/2011,2.30%,0.252,0.683,0.066,16.6M,53.60%
Philippines,Asia,12/1/2011,2.50%,0.349,0.613,0.038,95.1M,45.00%
Pakistan,Asia,12/1/2011,2.60%,0.349,0.608,0.043,176.2M,37.00%
Cambodia,Asia,12/1/2011,2.60%,0.314,0.634,0.051,14.6M,20.00%
Kyrgyzstan,Asia,12/1/2011,2.70%,0.301,0.656,0.043,5.5M,35.30%
Laos,Asia,12/1/2011,2.80%,0.362,0.601,0.037,6.5M,34.30%
Tajikistan,Asia,12/1/2011,3.30%,0.358,0.61,0.032,7.8M,26.50%
Timor-Leste,Asia,12/1/2011,3.60%,0.469,0.5,0.032,1.1M,30.20%
Afghanistan,Asia,12/1/2011,3.70%,0.481,0.497,0.022,29.1M,25.10%
Japan,Asia,12/1/2012,0.80%,0.131,0.625,0.244,127.6M,91.90%
Thailand,Asia,12/1/2012,1.00%,0.185,0.721,0.094,66.8M,46.70%
Macao SAR,Asia,12/1/2012,1.00%,0.122,0.8,0.077,0.6M,100.00%
South Korea,Asia,12/1/2012,1.00%,0.153,0.729,0.118,50.0M,82.10%
Singapore,Asia,12/1/2012,1.00%,0.165,0.738,0.097,5.3M,100.00%
China,Asia,12/1/2012,1.20%,0.18,0.733,0.087,"1,350.7M",51.90%
Hong Kong SAR,Asia,12/1/2012,1.30%,0.118,0.747,0.136,7.2M,100.00%
North Korea,Asia,12/1/2012,1.40%,0.22,0.688,0.092,24.8M,60.40%
Georgia,Asia,12/1/2012,1.40%,0.176,0.681,0.143,4.5M,53.20%
Armenia,Asia,12/1/2012,1.40%,0.203,0.693,0.103,3.0M,63.20%
Vietnam,Asia,12/1/2012,1.60%,0.229,0.706,0.066,88.8M,31.70%
Brunei,Asia,12/1/2012,1.60%,0.258,0.702,0.04,0.4M,76.20%
Myanmar,Asia,12/1/2012,1.70%,0.253,0.696,0.052,52.8M,32.50%
Sri Lanka,Asia,12/1/2012,1.80%,0.252,0.666,0.082,20.3M,18.30%
Malaysia,Asia,12/1/2012,1.80%,0.267,0.682,0.052,29.2M,72.50%
Azerbaijan,Asia,12/1/2012,1.90%,0.222,0.721,0.057,9.3M,53.90%
Indonesia,Asia,12/1/2012,1.90%,0.293,0.656,0.051,246.9M,51.50%
Bhutan,Asia,12/1/2012,2.00%,0.285,0.668,0.047,0.7M,36.40%
Bangladesh,Asia,12/1/2012,2.00%,0.306,0.647,0.047,154.7M,32.00%
India,Asia,12/1/2012,2.10%,0.294,0.654,0.052,"1,236.7M",31.60%
Uzbekistan,Asia,12/1/2012,2.10%,0.289,0.668,0.043,29.8M,36.20%
Turkmenistan,Asia,12/1/2012,2.20%,0.286,0.673,0.041,5.2M,49.00%
Nepal,Asia,12/1/2012,2.20%,0.356,0.594,0.051,27.5M,17.50%
Maldives,Asia,12/1/2012,2.20%,0.29,0.66,0.05,0.3M,42.30%
Mongolia,Asia,12/1/2012,2.30%,0.271,0.691,0.038,2.8M,69.50%
Kazakhstan,Asia,12/1/2012,2.30%,0.255,0.68,0.066,16.8M,53.50%
Philippines,Asia,12/1/2012,2.50%,0.345,0.616,0.038,96.7M,44.80%
Pakistan,Asia,12/1/2012,2.60%,0.343,0.613,0.044,179.2M,37.40%
Cambodia,Asia,12/1/2012,2.60%,0.312,0.635,0.053,14.9M,20.10%
Laos,Asia,12/1/2012,2.70%,0.356,0.606,0.038,6.6M,35.40%
Kyrgyzstan,Asia,12/1/2012,2.80%,0.302,0.656,0.042,5.6M,35.40%
Tajikistan,Asia,12/1/2012,3.30%,0.358,0.61,0.032,8.0M,26.60%
Afghanistan,Asia,12/1/2012,3.50%,0.474,0.503,0.023,29.8M,25.50%
Timor-Leste,Asia,12/1/2012,3.60%,0.463,0.505,0.032,1.1M,30.80%
Monaco,Europe,12/1/2005,0,0,0,0,0.0M,100.00%
Faeroe Islands,Europe,12/1/2005,0,0,0,0,0.0M,39.80%
Bosnia and Herzegovina,Europe,12/1/2005,0.80%,0.189,0.68,0.131,3.9M,39.20%
Germany,Europe,12/1/2005,0.80%,0.143,0.667,0.189,82.5M,73.40%
Ukraine,Europe,12/1/2005,0.90%,0.147,0.695,0.158,47.1M,67.80%
Belarus,Europe,12/1/2005,0.90%,0.155,0.698,0.147,9.7M,72.40%
Lithuania,Europe,12/1/2005,0.90%,0.167,0.681,0.151,3.3M,66.60%
Bulgaria,Europe,12/1/2005,0.90%,0.137,0.689,0.174,7.7M,70.60%
Slovenia,Europe,12/1/2005,0.90%,0.142,0.703,0.155,2.0M,50.50%
Russia,Europe,12/1/2005,1.00%,0.152,0.71,0.138,143.1M,73.50%
Latvia,Europe,12/1/2005,1.00%,0.148,0.681,0.172,2.2M,68.00%
Romania,Europe,12/1/2005,1.00%,0.155,0.697,0.148,21.3M,53.20%
Hungary,Europe,12/1/2005,1.00%,0.155,0.688,0.157,10.1M,66.40%
Serbia,Europe,12/1/2005,1.00%,0.181,0.679,0.14,7.4M,54.50%
Slovakia,Europe,12/1/2005,1.00%,0.168,0.716,0.117,5.4M,55.60%
Poland,Europe,12/1/2005,1.00%,0.164,0.703,0.133,38.2M,61.50%
Croatia,Europe,12/1/2005,1.00%,0.16,0.67,0.171,4.4M,56.40%
Czech Republic,Europe,12/1/2005,1.00%,0.148,0.711,0.141,10.2M,73.60%
Portugal,Europe,12/1/2005,1.00%,0.156,0.673,0.171,10.5M,57.50%
Malta,Europe,12/1/2005,1.00%,0.173,0.694,0.133,0.4M,93.60%
Austria,Europe,12/1/2005,1.00%,0.16,0.679,0.161,8.2M,65.80%
Greece,Europe,12/1/2005,1.00%,0.144,0.671,0.186,11.1M,74.50%
Italy,Europe,12/1/2005,1.00%,0.141,0.663,0.196,58.0M,67.70%
Switzerland,Europe,12/1/2005,1.00%,0.163,0.679,0.158,7.4M,73.50%
San Marino,Europe,12/1/2005,1.00%,0,0,0,0.0M,94.00%
Isle of Man,Europe,12/1/2005,1.10%,0,0,0,0.1M,51.90%
Andorra,Europe,12/1/2005,1.10%,0,0,0,0.1M,90.30%
Estonia,Europe,12/1/2005,1.10%,0.153,0.679,0.168,1.4M,68.70%
North Macedonia,Europe,12/1/2005,1.10%,0.198,0.69,0.112,2.1M,57.50%
Finland,Europe,12/1/2005,1.10%,0.174,0.667,0.159,5.2M,82.90%
Belgium,Europe,12/1/2005,1.10%,0.171,0.657,0.173,10.5M,97.40%
Liechtenstein,Europe,12/1/2005,1.10%,0,0,0,0.0M,14.70%
Spain,Europe,12/1/2005,1.10%,0.145,0.688,0.168,43.7M,77.30%
Sweden,Europe,12/1/2005,1.10%,0.174,0.653,0.173,9.0M,84.30%
Moldova,Europe,12/1/2005,1.20%,0.19,0.698,0.112,3.6M,45.30%
Denmark,Europe,12/1/2005,1.20%,0.187,0.661,0.151,5.4M,85.90%
Cyprus,Europe,12/1/2005,1.20%,0.2,0.693,0.107,1.0M,68.30%
United Kingdom,Europe,12/1/2005,1.20%,0.179,0.661,0.16,60.4M,79.90%
Luxembourg,Europe,12/1/2005,1.20%,0.186,0.67,0.144,0.5M,86.60%
Netherlands,Europe,12/1/2005,1.20%,0.184,0.675,0.14,16.3M,82.60%
Norway,Europe,12/1/2005,1.20%,0.196,0.656,0.147,4.6M,77.50%
Montenegro,Europe,12/1/2005,1.30%,0.201,0.67,0.129,0.6M,62.20%
France,Europe,12/1/2005,1.30%,0.185,0.651,0.164,63.2M,77.10%
Albania,Europe,12/1/2005,1.40%,0.265,0.649,0.085,3.0M,46.70%
Iceland,Europe,12/1/2005,1.40%,0.221,0.662,0.117,0.3M,93.00%
Ireland,Europe,12/1/2005,1.50%,0.206,0.684,0.111,4.2M,60.50%
Turkey,Europe,12/1/2005,1.90%,0.285,0.649,0.066,67.7M,67.80%
Kosovo,Europe,12/1/2005,2.10%,0,0,0,1.7M,0.00%
Isle of Man,Europe,12/1/2006,0,0,0,0,0.1M,51.90%
Monaco,Europe,12/1/2006,0,0,0,0,0.0M,100.00%
Faeroe Islands,Europe,12/1/2006,0,0,0,0,0.0M,40.10%
Bosnia and Herzegovina,Europe,12/1/2006,0.80%,0.186,0.678,0.136,3.9M,39.20%
Germany,Europe,12/1/2006,0.80%,0.141,0.665,0.194,82.4M,73.50%
Croatia,Europe,12/1/2006,0.90%,0.158,0.67,0.172,4.4M,56.60%
Slovenia,Europe,12/1/2006,0.90%,0.14,0.702,0.158,2.0M,50.40%
Malta,Europe,12/1/2006,0.90%,0.168,0.696,0.136,0.4M,93.90%
Austria,Europe,12/1/2006,0.90%,0.158,0.679,0.164,8.3M,65.80%
Russia,Europe,12/1/2006,1.00%,0.149,0.713,0.138,142.5M,73.50%
Ukraine,Europe,12/1/2006,1.00%,0.143,0.697,0.16,46.8M,68.00%
Belarus,Europe,12/1/2006,1.00%,0.152,0.702,0.147,9.6M,72.80%
Lithuania,Europe,12/1/2006,1.00%,0.163,0.685,0.153,3.3M,66.70%
Latvia,Europe,12/1/2006,1.00%,0.144,0.681,0.175,2.2M,68.00%
Romania,Europe,12/1/2006,1.00%,0.152,0.7,0.149,21.2M,53.30%
Bulgaria,Europe,12/1/2006,1.00%,0.135,0.69,0.176,7.7M,70.90%
Hungary,Europe,12/1/2006,1.00%,0.153,0.688,0.159,10.1M,66.90%
Slovakia,Europe,12/1/2006,1.00%,0.163,0.719,0.118,5.4M,55.40%
Serbia,Europe,12/1/2006,1.00%,0.178,0.682,0.14,7.4M,54.80%
Poland,Europe,12/1/2006,1.00%,0.16,0.707,0.133,38.1M,61.30%
Czech Republic,Europe,12/1/2006,1.00%,0.145,0.712,0.143,10.2M,73.50%
Portugal,Europe,12/1/2006,1.00%,0.155,0.672,0.173,10.5M,58.10%
Greece,Europe,12/1/2006,1.00%,0.144,0.669,0.187,11.1M,74.80%
Liechtenstein,Europe,12/1/2006,1.00%,0,0,0,0.0M,14.70%
Italy,Europe,12/1/2006,1.00%,0.141,0.661,0.198,58.1M,67.90%
Switzerland,Europe,12/1/2006,1.00%,0.16,0.68,0.16,7.5M,73.50%
San Marino,Europe,12/1/2006,1.00%,0,0,0,0.0M,94.00%
Andorra,Europe,12/1/2006,1.10%,0,0,0,0.1M,89.80%
Estonia,Europe,12/1/2006,1.10%,0.151,0.679,0.17,1.3M,68.60%
North Macedonia,Europe,12/1/2006,1.10%,0.192,0.694,0.113,2.1M,57.40%
Finland,Europe,12/1/2006,1.10%,0.172,0.667,0.161,5.3M,83.00%
Netherlands,Europe,12/1/2006,1.10%,0.183,0.675,0.142,16.3M,83.60%
Spain,Europe,12/1/2006,1.10%,0.145,0.687,0.168,44.4M,77.50%
Moldova,Europe,12/1/2006,1.20%,0.182,0.705,0.113,3.6M,45.20%
Denmark,Europe,12/1/2006,1.20%,0.186,0.66,0.154,5.4M,86.10%
Cyprus,Europe,12/1/2006,1.20%,0.195,0.697,0.109,1.0M,68.10%
United Kingdom,Europe,12/1/2006,1.20%,0.178,0.662,0.16,60.8M,80.20%
Luxembourg,Europe,12/1/2006,1.20%,0.184,0.672,0.144,0.5M,87.00%
Belgium,Europe,12/1/2006,1.20%,0.17,0.658,0.172,10.5M,97.40%
Sweden,Europe,12/1/2006,1.20%,0.172,0.655,0.174,9.1M,84.40%
Montenegro,Europe,12/1/2006,1.30%,0.2,0.671,0.129,0.6M,62.40%
France,Europe,12/1/2006,1.30%,0.185,0.651,0.165,63.6M,77.40%
Norway,Europe,12/1/2006,1.30%,0.195,0.658,0.147,4.7M,77.90%
Albania,Europe,12/1/2006,1.40%,0.258,0.654,0.089,3.0M,47.80%
Ireland,Europe,12/1/2006,1.50%,0.206,0.683,0.111,4.3M,60.80%
Iceland,Europe,12/1/2006,1.50%,0.218,0.664,0.118,0.3M,93.20%
Kosovo,Europe,12/1/2006,1.90%,0,0,0,1.7M,0.00%
Turkey,Europe,12/1/2006,1.90%,0.281,0.652,0.067,68.6M,68.40%
Monaco,Europe,12/1/2007,0,0,0,0,0.0M,100.00%
Bosnia and Herzegovina,Europe,12/1/2007,0.80%,0.184,0.676,0.14,3.9M,39.20%
Germany,Europe,12/1/2007,0.80%,0.139,0.662,0.198,82.3M,73.70%
Serbia,Europe,12/1/2007,0.90%,0.176,0.686,0.139,7.4M,55.10%
Croatia,Europe,12/1/2007,0.90%,0.157,0.67,0.173,4.4M,56.80%
Austria,Europe,12/1/2007,0.90%,0.155,0.678,0.167,8.3M,65.80%
Malta,Europe,12/1/2007,0.90%,0.164,0.698,0.138,0.4M,94.10%
San Marino,Europe,12/1/2007,0.90%,0,0,0,0.0M,94.00%
Andorra,Europe,12/1/2007,1.00%,0,0,0,0.1M,89.40%
Ukraine,Europe,12/1/2007,1.00%,0.141,0.698,0.161,46.5M,68.10%
Lithuania,Europe,12/1/2007,1.00%,0.159,0.688,0.154,3.2M,66.80%
Romania,Europe,12/1/2007,1.00%,0.15,0.701,0.149,20.9M,53.40%
Bulgaria,Europe,12/1/2007,1.00%,0.133,0.689,0.177,7.5M,71.30%
Hungary,Europe,12/1/2007,1.00%,0.151,0.689,0.161,10.1M,67.40%
Slovakia,Europe,12/1/2007,1.00%,0.159,0.722,0.119,5.4M,55.30%
Poland,Europe,12/1/2007,1.00%,0.156,0.71,0.133,38.1M,61.20%
Portugal,Europe,12/1/2007,1.00%,0.154,0.671,0.175,10.5M,58.70%
Slovenia,Europe,12/1/2007,1.00%,0.14,0.7,0.16,2.0M,50.30%
Greece,Europe,12/1/2007,1.00%,0.144,0.668,0.188,11.2M,75.20%
Liechtenstein,Europe,12/1/2007,1.00%,0,0,0,0.0M,14.60%
Italy,Europe,12/1/2007,1.00%,0.141,0.66,0.199,58.4M,68.00%
Switzerland,Europe,12/1/2007,1.00%,0.157,0.681,0.162,7.6M,73.60%
Isle of Man,Europe,12/1/2007,1.10%,0,0,0,0.1M,51.90%
Russia,Europe,12/1/2007,1.10%,0.147,0.716,0.137,142.1M,73.60%
Belarus,Europe,12/1/2007,1.10%,0.15,0.705,0.145,9.6M,73.30%
Latvia,Europe,12/1/2007,1.10%,0.142,0.68,0.178,2.2M,67.90%
North Macedonia,Europe,12/1/2007,1.10%,0.187,0.699,0.114,2.1M,57.20%
Czech Republic,Europe,12/1/2007,1.10%,0.143,0.712,0.145,10.3M,73.50%
Finland,Europe,12/1/2007,1.10%,0.17,0.668,0.163,5.3M,83.20%
Luxembourg,Europe,12/1/2007,1.10%,0.182,0.675,0.143,0.5M,87.40%
Netherlands,Europe,12/1/2007,1.10%,0.181,0.674,0.144,16.4M,84.50%
Spain,Europe,12/1/2007,1.10%,0.146,0.686,0.168,45.2M,77.70%
Moldova,Europe,12/1/2007,1.20%,0.177,0.71,0.113,3.6M,45.10%
Estonia,Europe,12/1/2007,1.20%,0.151,0.678,0.172,1.3M,68.50%
Denmark,Europe,12/1/2007,1.20%,0.185,0.659,0.156,5.5M,86.30%
Cyprus,Europe,12/1/2007,1.20%,0.19,0.7,0.11,1.1M,68.00%
Belgium,Europe,12/1/2007,1.20%,0.169,0.659,0.172,10.6M,97.50%
Norway,Europe,12/1/2007,1.20%,0.193,0.66,0.147,4.7M,78.20%
Sweden,Europe,12/1/2007,1.20%,0.169,0.656,0.175,9.1M,84.60%
Montenegro,Europe,12/1/2007,1.30%,0.199,0.673,0.128,0.6M,62.60%
Albania,Europe,12/1/2007,1.30%,0.25,0.658,0.092,2.9M,48.90%
United Kingdom,Europe,12/1/2007,1.30%,0.177,0.662,0.161,61.3M,80.50%
France,Europe,12/1/2007,1.30%,0.184,0.651,0.165,64.0M,77.60%
Faeroe Islands,Europe,12/1/2007,1.40%,0,0,0,0.0M,40.30%
Iceland,Europe,12/1/2007,1.50%,0.215,0.666,0.118,0.3M,93.30%
Ireland,Europe,12/1/2007,1.60%,0.208,0.681,0.111,4.4M,61.00%
Kosovo,Europe,12/1/2007,1.90%,0,0,0,1.7M,0.00%
Turkey,Europe,12/1/2007,1.90%,0.278,0.655,0.068,69.5M,69.00%
Isle of Man,Europe,12/1/2008,0,0,0,0,0.1M,52.00%
Monaco,Europe,12/1/2008,0,0,0,0,0.0M,100.00%
Faeroe Islands,Europe,12/1/2008,0,0,0,0,0.0M,40.50%
Bosnia and Herzegovina,Europe,12/1/2008,0.80%,0.181,0.674,0.144,3.9M,39.20%
Germany,Europe,12/1/2008,0.80%,0.137,0.66,0.202,82.1M,73.90%
Serbia,Europe,12/1/2008,0.90%,0.173,0.689,0.138,7.4M,55.10%
Austria,Europe,12/1/2008,0.90%,0.152,0.677,0.171,8.3M,65.80%
Andorra,Europe,12/1/2008,1.00%,0,0,0,0.1M,88.90%
Bulgaria,Europe,12/1/2008,1.00%,0.133,0.688,0.179,7.5M,71.60%
Hungary,Europe,12/1/2008,1.00%,0.149,0.688,0.163,10.0M,67.90%
Croatia,Europe,12/1/2008,1.00%,0.156,0.671,0.173,4.4M,57.00%
Portugal,Europe,12/1/2008,1.00%,0.153,0.67,0.176,10.6M,59.40%
Malta,Europe,12/1/2008,1.00%,0.162,0.699,0.139,0.4M,94.30%
Italy,Europe,12/1/2008,1.00%,0.14,0.66,0.2,58.8M,68.10%
Switzerland,Europe,12/1/2008,1.00%,0.155,0.681,0.164,7.6M,73.60%
Liechtenstein,Europe,12/1/2008,1.00%,0,0,0,0.0M,14.60%
Ukraine,Europe,12/1/2008,1.10%,0.139,0.7,0.16,46.3M,68.30%
Belarus,Europe,12/1/2008,1.10%,0.148,0.708,0.143,9.5M,73.70%
Lithuania,Europe,12/1/2008,1.10%,0.156,0.69,0.154,3.2M,66.80%
Latvia,Europe,12/1/2008,1.10%,0.141,0.679,0.18,2.2M,67.80%
Romania,Europe,12/1/2008,1.10%,0.15,0.702,0.149,20.5M,53.60%
Slovakia,Europe,12/1/2008,1.10%,0.156,0.724,0.12,5.4M,55.10%
Poland,Europe,12/1/2008,1.10%,0.154,0.713,0.133,38.1M,61.10%
North Macedonia,Europe,12/1/2008,1.10%,0.182,0.703,0.115,2.1M,57.10%
Slovenia,Europe,12/1/2008,1.10%,0.139,0.698,0.162,2.0M,50.20%
Finland,Europe,12/1/2008,1.10%,0.168,0.668,0.165,5.3M,83.30%
Netherlands,Europe,12/1/2008,1.10%,0.179,0.674,0.147,16.4M,85.40%
Greece,Europe,12/1/2008,1.10%,0.144,0.668,0.188,11.2M,75.60%
Spain,Europe,12/1/2008,1.10%,0.147,0.684,0.169,46.0M,78.00%
San Marino,Europe,12/1/2008,1.10%,0,0,0,0.0M,94.10%
Russia,Europe,12/1/2008,1.20%,0.147,0.718,0.135,142.0M,73.60%
Moldova,Europe,12/1/2008,1.20%,0.172,0.715,0.112,3.6M,45.00%
Estonia,Europe,12/1/2008,1.20%,0.151,0.676,0.173,1.3M,68.40%
Montenegro,Europe,12/1/2008,1.20%,0.198,0.676,0.126,0.6M,62.70%
Czech Republic,Europe,12/1/2008,1.20%,0.142,0.711,0.147,10.4M,73.40%
Denmark,Europe,12/1/2008,1.20%,0.183,0.657,0.159,5.5M,86.50%
Cyprus,Europe,12/1/2008,1.20%,0.186,0.703,0.112,1.1M,67.80%
Belgium,Europe,12/1/2008,1.20%,0.168,0.661,0.171,10.7M,97.50%
Luxembourg,Europe,12/1/2008,1.20%,0.18,0.679,0.141,0.5M,87.80%
Sweden,Europe,12/1/2008,1.20%,0.167,0.656,0.177,9.2M,84.70%
Albania,Europe,12/1/2008,1.30%,0.243,0.662,0.095,2.9M,50.00%
United Kingdom,Europe,12/1/2008,1.30%,0.176,0.661,0.162,61.8M,80.80%
Norway,Europe,12/1/2008,1.30%,0.191,0.661,0.148,4.8M,78.50%
France,Europe,12/1/2008,1.30%,0.184,0.651,0.165,64.4M,77.90%
Iceland,Europe,12/1/2008,1.50%,0.213,0.668,0.119,0.3M,93.40%
Ireland,Europe,12/1/2008,1.70%,0.21,0.679,0.111,4.5M,61.30%
Turkey,Europe,12/1/2008,1.80%,0.274,0.657,0.069,70.4M,69.60%
Kosovo,Europe,12/1/2008,1.90%,0,0,0,1.7M,0.00%
Isle of Man,Europe,12/1/2009,0,0,0,0,0.1M,52.00%
Monaco,Europe,12/1/2009,0,0,0,0,0.0M,100.00%
Faeroe Islands,Europe,12/1/2009,0,0,0,0,0.0M,40.70%
Germany,Europe,12/1/2009,0.80%,0.136,0.659,0.206,81.9M,74.10%
Bosnia and Herzegovina,Europe,12/1/2009,0.90%,0.178,0.674,0.148,3.9M,39.20%
Portugal,Europe,12/1/2009,0.90%,0.153,0.669,0.178,10.6M,60.00%
Austria,Europe,12/1/2009,0.90%,0.15,0.675,0.175,8.4M,65.80%
Andorra,Europe,12/1/2009,1.00%,0,0,0,0.1M,88.40%
Latvia,Europe,12/1/2009,1.00%,0.141,0.677,0.182,2.1M,67.80%
Hungary,Europe,12/1/2009,1.00%,0.147,0.687,0.165,10.0M,68.40%
Serbia,Europe,12/1/2009,1.00%,0.171,0.692,0.137,7.3M,55.20%
Croatia,Europe,12/1/2009,1.00%,0.154,0.672,0.174,4.4M,57.30%
Malta,Europe,12/1/2009,1.00%,0.159,0.699,0.141,0.4M,94.50%
Italy,Europe,12/1/2009,1.00%,0.14,0.658,0.201,59.1M,68.20%
Switzerland,Europe,12/1/2009,1.00%,0.152,0.681,0.167,7.7M,73.60%
Ukraine,Europe,12/1/2009,1.10%,0.139,0.702,0.159,46.1M,68.50%
Belarus,Europe,12/1/2009,1.10%,0.148,0.711,0.141,9.5M,74.20%
Romania,Europe,12/1/2009,1.10%,0.15,0.702,0.148,20.4M,53.70%
Bulgaria,Europe,12/1/2009,1.10%,0.133,0.686,0.181,7.4M,72.00%
Slovakia,Europe,12/1/2009,1.10%,0.153,0.726,0.121,5.4M,55.00%
North Macedonia,Europe,12/1/2009,1.10%,0.178,0.707,0.115,2.1M,57.00%
